Gene.symbol	Gene.ID	adj.P.Val	logFC
LINC01554	202299	0.00955704179216602	-0.409783816286848
		0.0095647225016352	0.364153473626988
WAS	7454	0.0095789900532928	-0.756878653024941
TRMT6	51605	0.00958311746710954	0.752257459489799
		0.00958311746710954	-0.239767074156463
		0.00958311746710954	0.718022452579365
C14orf166	51637	0.00959432765258682	0.716931959134921
ZUFSP	221302	0.00960816365912352	0.564694024387759
PYGL	5836	0.00960816365912352	2.65526760387415
		0.00961813534316001	0.53379835707257
M1AP	130951	0.00961813534316001	0.535408383399095
SMAD6	4091	0.00962918912794806	0.345767750051021
		0.00963698371258574	0.834041275317459
FAXDC2	10826	0.00963698371258574	0.79675234026644
JPX	554203	0.00963698371258574	-0.910766825880952
		0.00964655428948379	-0.387756397311791
		0.00965893291744123	-1.20265251811678
ACCS	84680	0.00966017057547246	0.733052739350341
PI15	51050	0.00968663279921112	0.660693559887756
BEAN1	146227	0.00968663279921112	-0.8317539138356
BMP8A	353500	0.00969608282981331	-0.462737527073696
ZBED8	63920	0.00970297191090306	0.435211660157598
RPL27A	6157	0.00970929440822084	1.12084708220521
PIGB	9488	0.00971546471798481	-1.01421772214059
		0.0097181116979466	-0.322006855633786
SHANK3	85358	0.00972008960781514	0.582168123456919
TMED3	23423	0.00973396768753174	0.610429295683672
SOX6	55553	0.00973880691670004	0.558652325935374
		0.00975435209942101	-0.357740976061224
LOC100130691	100130691	0.00975807340998329	0.735699663082769
TCEAL7	56849	0.00976973635689796	-0.407039917729025
		0.00977976659861111	0.580904218020409
		0.00978323814315232	-0.977240106427437
TMEM258	746	0.00978323814315232	0.551348935192742
HMGA1	3159	0.00979395994394624	0.581356323106579
YEATS4	8089	0.00979395994394624	0.829887936185941
RIMKLB	57494	0.00979517614763139	1.03867638850794
SNHG17	388796	0.00980536706370644	0.666102834524941
		0.00980688472083431	0.546565246102043
MED23	9439	0.0098345323112596	-0.32620378152494
ANAPC7	51434	0.00983461536787495	0.432225300688208
		0.00983756729431313	0.630380091801589
TXNRD2	10587	0.00984630330712832	0.458258202916099
GIMAP7	168537	0.00985337574428725	-2.23789907102834
		0.00985876920971802	-1.72187645399887
SNAI3	333929	0.00987499321413248	-0.391351075292514
BTBD1	53339	0.00987862896107276	0.320593873119051
		0.00987862896107276	-0.524250720986393
GNPAT	8443	0.00988779520643073	0.552479043502265
EMC10	284361	0.00993898193920066	0.469150519841269
OR2A42///OR2A1///OR2A14	402317///346528///135941	0.009951500485538	-0.356289569438774
DYRK1A	1859	0.009951500485538	-0.430802946184809
MED26	9441	0.009951500485538	-0.592749228404758
PPFIA1	8500	0.0099679526014563	-0.501707968234691
ENOX1	55068	0.00998580528420592	0.394781652096371
IL2RB	3560	0.0100025193278754	-1.34248061367234
		0.0100045947331075	0.508887325444444
DIRAS1	148252	0.0100168417542173	-0.383763755799317
		0.0100191900547311	-0.501561228611108
MCM8	84515	0.0100191900547311	1.1889016034229
ZNF419	79744	0.0100193230459954	-0.595970811367348
MIR134	406924	0.0100301394818068	-0.437851983171204
ATP1A4	480	0.010069532693054	-0.238081509528343
KIAA2026	158358	0.010072141545435	-0.944018783214283
HBE1	3046	0.0100767123341289	0.688842218000001
		0.0101058267411299	-0.317579742116779
		0.0101162204213771	0.690895099000004
NR4A2	4929	0.0101308755373302	-1.19639185059864
PCOLCE2	26577	0.0101308755373302	0.39905966131066
		0.010137094705927	-0.319770032887753
LDLRAP1	26119	0.0101545561605597	-1.36824102301021
TOMM70	9868	0.0101735252087403	0.967860130414969
ATXN7L1	222255	0.0101765800672099	-1.16337191826984
LENG1	79165	0.0101766744085287	-0.481620455255102
RFC5	5985	0.010177623833383	0.497972643470526
ZNF598	90850	0.0101881738365241	0.290670587207484
PPM1G	5496	0.0101925025372132	0.348420720157599
ELOVL2-AS1	100506409	0.0102127401624034	0.30503705393991
SPTB	6710	0.0102281352378234	0.690770730894561
COX7A2L	9167	0.0102402221256355	0.613596160804993
		0.0102481896134605	-0.763593250088434
UBE2Q2	92912	0.0102610278528528	0.773783555128121
CD247	919	0.0102610278528528	-1.60628038003968
HAPLN3	145864	0.0102748281529524	-0.907688331602039
RAB4B-EGLN2///EGLN2	100529264///112398	0.0102748281529524	-0.529457038030609
PARP14	54625	0.010279494327336	-0.808103469100903
		0.010279494327336	-0.794065036501133
C1orf50	79078	0.010279494327336	-0.330641014028345
TNRC18	84629	0.0102798201969227	0.53938565936735
BSN	8927	0.0102835198029006	-0.282898783547619
		0.0102919174778458	1.39927013699433
FOXC1	2296	0.0102919174778458	0.438512149036282
GYG1	2992	0.0103045539310039	0.741438644592969
GIMAP1-GIMAP5///GIMAP5	100527949///55340	0.0103068355916467	-1.88271422088889
EAPP	55837	0.0103185350227625	-0.629631611877548
ORMDL1	94101	0.0103325165324391	-0.44089588882086
MDM1	56890	0.0103325165324391	-0.372914493113376
		0.0103325165324391	-0.545427017282313
		0.0103340205012802	-0.390829629274377
		0.0103380278744894	-0.657117180188205
SWSAP1	126074	0.010351966054123	-0.377651648888888
IKBKG	8517	0.0103544330350693	-0.727925257709749
HSP90B2P	7190	0.0103595060008733	0.431000458328798
		0.0103634013786153	-0.379642346014738
SCO2	9997	0.010373248954894	-0.73072627361224
MRPS27///MRPS27	23107///23107	0.0103802786400366	1.20556301470635
		0.0103802786400366	0.996498745992064
CCDC167	154467	0.0103881249561752	-0.593310201707483
POC1B	282809	0.0103961888912976	-0.633640132458045
CRHBP	1393	0.010410779305722	1.20673102959751
		0.0104199091591529	-0.640402609748298
GNL3	26354	0.0104512381680858	1.2735632632483
		0.010451934886825	0.909016646276651
		0.0104571232733099	-0.315829393524942
		0.0104623008071897	0.443097784705218
		0.0104699348797485	-1.0282301949297
LOC400590	400590	0.0104699348797485	-0.947078699722219
CTSK	1513	0.0104747132458676	-0.702914975825397
DBET///DUX4///DUX1///DUX3///DUX5	100419743///100288687///26584///26582///26581	0.0104929857664002	0.707215399289119
MARCH7	64844	0.0104959401639366	-0.487478781183666
EIF4A3	9775	0.0104978851692867	0.553095733441042
LOC102724238///LOC554249///GLIDR	102724238///554249///389741	0.0104986414934848	0.615917041526076
		0.0105032742797718	0.712574870352606
ANKH	56172	0.0105063125547669	-1.15164385527437
ABCF1	23	0.010506750559336	0.389829390370752
RPL22	6146	0.0105281067502046	1.15851868068141
ZNF648	127665	0.0105281067502046	-0.370646271294785
		0.0105346996122721	-0.619970575442174
NEK3	4752	0.0105567282836864	0.712062563197282
B4GALT1	2683	0.0105569892559138	-0.725493564878684
		0.0105601913767695	0.712029502155334
C14orf37	145407	0.0105689890967012	0.382942683666666
LTBR	4055	0.0105772490506501	1.2270298958152
		0.0105786818134859	0.542533192126987
RASSF4	83937	0.0105951703662319	1.48206074960771
		0.0105951703662319	1.42042708424377
STOML2	30968	0.0105951703662319	0.624738074667801
ZCCHC14	23174	0.0105989744433016	-0.612843540663267
WEE1	7465	0.0105989744433016	1.23178407327551
SARM1	23098	0.0106232044417929	-0.544047079141722
MRPL4	51073	0.0106492127034125	0.352538392908165
		0.0106492127034125	0.508270341143991
MARCH10	162333	0.0106712990648672	-0.245519685454648
SPATA31C2///SPATA31C1	645961///441452	0.0106784134813511	-0.392742154314056
NPHP4	261734	0.0106926803285613	0.317977202484129
LPAR2	9170	0.0107023331315612	-0.840262623435372
		0.0107070936076527	0.557142454882086
PRR34	55267	0.0107120664295862	-0.468915612747163
TNNT3	7140	0.0107317487827878	-0.38392807410884
TRIM35	23087	0.010739500084316	-0.411664080478459
GLS2	27165	0.0107881345251487	-0.530841994122447
FBXO7	25793	0.0107881345251487	0.605801260765308
SCAND2P	54581	0.0107911564621715	-0.445761290718822
		0.0107913308795056	1.51052880479819
ZNF816-ZNF321P///ZNF321P	100529240///399669	0.0107943468607731	0.771331601226761
CDKN1C	1028	0.0108020931002987	0.38930370010771
		0.0108044487515515	1.26918306779706
MRRF	92399	0.0108340719339276	0.978989414791387
		0.0108390902071744	-0.361274291637187
		0.0108416087920738	0.700750503147395
WDR4	10785	0.0108613172119197	0.656738928159863
GRSF1	2926	0.0108613172119197	0.789701573231296
SIMC1	375484	0.0108739019650622	-0.99345711103061
ING5	84289	0.0108747024975602	0.556544208261908
FAM126B	285172	0.0109036907193547	-0.901211558539678
LRRN1	57633	0.0109232507270718	-0.911166634568027
RERG	85004	0.0109261067864754	-0.295036636270975
MSL3P1	151507	0.0109261067864754	-0.740577303877552
		0.0109411717887884	-0.854311723698411
PMS2P9///PMS2P7///PMS2P6///DTX2P1-UPK3BP1-PMS2P11///LOC441259///PMS2///PMS2P3///PMS2P5///PMS2P4///PMS2P2///PMS2P1///PMS2P6///PMS2P3///PMS2P2///PMS2P1	100132832///100101440///729453///441263///441259///5395///5387///5383///5382///5380///5379///729453///5387///5380///5379	0.0109563172427068	0.576442980327666
LOC79999	79999	0.0109563172427068	-0.453333056829933
BRIX1	55299	0.010957144884045	1.18536035800227
INIP	58493	0.010957144884045	-0.444497581824263
MAP3K10	4294	0.010965439079047	-0.360646117472789
SORCS1	114815	0.0109673376514377	0.380505035630387
FAM161A	84140	0.0109825180538004	0.409239514041951
		0.0109825180538004	-0.850994068091836
CKB	1152	0.0109855680988082	0.404498005772109
TOR1AIP2	163590	0.0109970608712901	0.385171617823131
AGPAT5	55326	0.0110031868463973	1.24309410404195
EPRS	2058	0.0110169868296249	1.19889300664512
B3GNT9	84752	0.0110174523301928	-0.468120996252835
		0.0110259864223691	0.771961663776644
SNORD116-15	100033427	0.0110259864223691	-2.00848308519841
TIGD2	166815	0.0110259864223691	0.62081075254762
CNOT9	9125	0.0110380863310748	0.505697993255104
		0.0110524716571499	-0.774767916196142
ERO1A	30001	0.0110842544189247	-0.5044704475839
NEURL4	84461	0.0110907086207033	-0.353863304413831
SNORD81	26769	0.0110960038875059	0.748105927574832
SHROOM4	57477	0.0111165003056389	0.405577589763039
NMT2	9397	0.0111277807106204	-1.24926198365193
TBX20	57057	0.0111552279423451	-0.37798229680272
CREB3L2	64764	0.0111698399701897	0.539359758425172
		0.0111887113769132	-0.590249340590704
		0.0111899422509384	-0.807705955247163
		0.0111899422509384	0.491117060793652
PRMT1	3276	0.0112036886594212	0.645267924195012
CXorf21	80231	0.0112330064555756	1.73839430933107
SNORD116-25	100033436	0.011250899495547	-0.982565182411563
		0.0112510783989205	-0.953701027773242
SPRR2G	6706	0.0112550339438815	-0.541921877350339
ZNF521	25925	0.0112690269712546	1.33885303980272
		0.0112690269712546	0.568181051149661
		0.0112875417122794	-0.362795861666664
SIX4	51804	0.0112887618565338	-0.384606877300453
IL10RA	3587	0.011310903751907	-1.3441244233356
		0.0113277490402954	-0.418343237091838
WDR83	84292	0.0113277490402954	-0.276508188807257
USF3	205717	0.011343967238333	-0.870007218437638
CTSC	1075	0.011343967238333	0.909651608658734
		0.0113494983496777	-0.659401221852606
		0.0113494983496777	-1.19034518434467
YIF1A	10897	0.0113494983496777	0.506513461767575
		0.0113513032723208	-1.55588006298299
FN3KRP	79672	0.0113551117471112	0.715802788928571
ADSL	158	0.0113553725800793	0.663410411825402
LRRC56	115399	0.0113625127324887	-0.32546473564966
MRPL36	64979	0.0113728065567601	-0.60106388102721
INHBA///INHBA	3624///3624	0.0113733751746784	0.611203031044219
ZNF540	163255	0.0113795966646746	-0.78480772554535
USP2	9099	0.0113802753829651	0.315113523926303
ITGA7	3679	0.0113811662597794	0.512581924828799
		0.0113880659058899	0.422907772571431
CD8B	926	0.0113977302266171	-1.33129493250567
		0.0114046390966687	0.587123569697283
		0.0114046390966687	0.569285415869617
KRT20	54474	0.0114084688571596	-0.303044468053287
OR5B21	219968	0.0114300019994021	-0.620103813519274
NAP1L2	4674	0.0114335191907178	-1.04481262707483
NDUFB9	4715	0.0114440625488707	0.532912531901362
		0.0114536844254947	-0.358229448668935
ERAL1	26284	0.0114725071124944	1.04152064917801
NHSL2	340527	0.0114734884744542	-1.46314331252041
ERICH1	157697	0.0114793877705877	-0.514203387841269
SCRT1	83482	0.011486022269702	-0.627417282365077
LTA	4049	0.0114916403587683	-0.453430691429702
		0.0115060515916576	-0.563045788877549
POGLUT1	56983	0.0115086330632142	1.02323343486962
LRPPRC	10128	0.0115231986715964	1.44330461788322
LOX	4015	0.0115243209792908	0.799421074352608
COL6A6	131873	0.0115319566627374	0.552329525498867
ABCB10	23456	0.0115396826462884	0.40876558410091
RPL5	6125	0.0115450687792701	0.954407793047624
ABCD3	5825	0.0115699635219889	1.0218864925771
		0.0115706461401321	-0.843698378369612
		0.0116084157110512	-0.539968202418367
		0.0116279007492201	0.873969663498872
		0.011643425288487	-0.34446201871315
		0.0116528226516834	-0.302619215079364
BCCIP	56647	0.0116528226516834	0.836266970621319
NHP2	55651	0.0116528226516834	0.97299042409184
LSM1	27257	0.0116607784779539	0.320489511314059
ZNF365	22891	0.0116607784779539	-0.277482507418366
PABPC1	26986	0.0116607784779539	0.53086663819048
		0.0116607784779539	0.620572831573695
DMTF1	9988	0.0116702871242603	-0.478135846821997
LOC400927-CSNK1E///CSNK1E	102800317///1454	0.0116807910804994	0.49164544690023
		0.0116940576490339	-0.429405896886621
		0.0116983072359951	-0.433824138117911
		0.0116983072359951	-0.45183514466213
CTBP2	1488	0.0116983072359951	1.22176990243084
ZSCAN31	64288	0.011701570366619	0.35620099828685
EDN1	1906	0.011701570366619	-0.416781159062358
SVBP	374969	0.0117035270164783	-0.858272933126981
		0.0117283593839904	0.336973464453515
FAM69B	138311	0.0117319816253479	0.598600484328801
ZNF124	7678	0.0117351339351451	0.965352848196145
ESF1	51575	0.0117366136856747	1.07123883290136
ZNF552	79818	0.0117385287170491	-0.940685476394559
AGR2	10551	0.0117403130889469	0.327502366876419
PXDN	7837	0.0117442153868588	0.71579938476871
ZC3H4	23211	0.0117442153868588	-0.365559393231291
KCNMB3	27094	0.0117532335873709	-0.58300855456122
FAM153C///FAM153A///FAM153B	653316///285596///202134	0.0117639154968134	-1.12933564905442
ECEL1P2	347694	0.0117701391812515	-0.442692932039682
		0.0117825697655053	-0.28824530479932
		0.0118064547069259	-0.680892313089568
KCNQ1	3784	0.0118064547069259	-0.731039164812923
		0.0118084936638048	-0.760152440845804
		0.0118094614823371	-0.251622342929704
CEP41///CEP41	95681///95681	0.011809906312576	0.850965391046489
		0.011809906312576	-0.355907127280044
PRDM5	11107	0.011825934154538	-0.807424779541948
PEF1	553115	0.011825934154538	-0.526692632478454
		0.0118364157716736	-0.929942956781178
		0.0118364157716736	0.537042912691611
		0.0118534649124688	0.511613596589569
ATRIP///TREX1	84126///11277	0.0118621383199844	-0.26455002621882
		0.0118654635065879	-0.414671931134919
PPIP5K1	9677	0.0118661558554775	0.663575737854881
		0.0118730361825387	-0.378795333340134
		0.0118764377076185	1.04137255615533
KIF3B	9371	0.0118940663079572	-0.395917049529479
ZNF239	8187	0.0119001708961121	-0.529211420310657
RNF130	55819	0.0119247217470894	1.3830110259195
COL2A1	1280	0.0119254581661726	-0.330768104756234
SMARCAL1	50485	0.0119300988134851	0.57804937721202
SERPINB6	5269	0.0119311879901523	0.810219471240361
GBP6	163351	0.0119311879901523	-0.684275575285711
FNDC5	252995	0.0119423348944302	-0.481634464155326
		0.0119460341735968	-0.380434571944443
METTL7A	25840	0.0119523829069881	1.5450716419161
CDC42EP1	11135	0.0119565040187443	-0.454021036747166
HIST1H4B	8366	0.0119646186435237	0.933173320496604
		0.0119702847868543	-0.640305758441045
CTRL	1506	0.0119772033573372	-0.555814985154192
		0.0119953330118241	-0.548498963675737
FNDC3B	64778	0.0119959814556767	1.18799777449773
CYP21A1P///CYP21A2	1590///1589	0.0120142773181806	-0.463375562339003
DNAJC25-GNG10///GNG10	552891///2790	0.012018400589156	-1.46703325487642
TBX1	6899	0.012039454042116	0.35118133861678
CPAMD8	27151	0.0120561822877411	-0.522977916877551
		0.0120561822877411	-0.592721648252835
		0.0120661708869485	-0.482511561767573
RNU6ATAC	100151684	0.0120695262769885	-0.626886985273243
SLC24A3	57419	0.0120714048435754	0.921101635487531
		0.0120714048435754	-0.902307722926302
NECTIN3	25945	0.0120827336431888	-0.715387335776645
ZNF428	126299	0.0120980081256108	0.524284104366212
		0.0120980081256108	-0.533271590258503
APOM	55937	0.0121052314286976	-0.442032249741496
UBR2	23304	0.0121095489551101	-0.740779784066888
CTSA	5476	0.012111721295255	0.751459338801588
		0.012111721295255	0.550874885814062
GCM1	8521	0.0121376708017124	-1.16543957407483
SAR1A	56681	0.0121464025802993	-0.311039820606576
		0.0121885338329532	0.780876045333333
ZBTB43	23099	0.0122184549579455	0.680578859522678
HSPB2-C11orf52///C11orf52	100528019///91894	0.0122275344298753	-0.355995867017005
SF3A1	10291	0.0122375768123671	-0.325868770833329
ZNF609	23060	0.0122474490094839	0.486242043927442
NUP188	23511	0.0122474490094839	0.920617199456921
		0.0122474490094839	0.98017119052381
SNORD104	692227	0.0122668935037581	-0.750244989221088
		0.0122733199457436	-0.303270638911565
FAM86HP///FAM86B1///FAM86C1	729375///85002///55199	0.0122760853401556	0.815617961264172
WASL	8976	0.0123225545911819	-0.39558600198072
LOC105377021	105377021	0.0123340117368481	0.374764672513606
CCDC110	256309	0.0123453360070328	-0.307657000639454
OSTC	58505	0.0123665494338159	0.771104167527216
FANCE	2178	0.0123693008340606	-0.453831145712016
		0.0123737338948664	-0.702815940591838
FCGBP	8857	0.012386503443353	-0.669046131339
		0.0123882121212261	-0.39139491902154
TMEM170A	124491	0.0123924852523247	-0.885194753143988
SLC16A4	9122	0.0123924852523247	-0.502937745654194
		0.012394451581889	-0.683938997965986
CDK2AP2	10263	0.012394451581889	-0.413289467821994
PCNX1	22990	0.012394451581889	-0.607492370265303
WDR5B	54554	0.0124027096707028	-0.464619032905891
		0.0124035023274541	-0.686371532938775
NQO1	1728	0.0124076310362275	0.610470463216555
ZNF683	257101	0.0124076310362275	-0.414920922859408
		0.0124101161769615	-0.606728540097505
NR1D1	9572	0.0124135431507722	-0.56427097698639
RBM48	84060	0.0124285499700973	-0.634296067199545
YPEL4	219539	0.0124285499700973	0.43557650348753
ZNF701	55762	0.0124389902607	-0.70116826639229
PROC	5624	0.0124494427962314	-0.567365394251701
IFI35	3430	0.0124538955829467	-0.540707159626981
PTPN23	25930	0.0124608349332762	-0.298284815071428
TMEM187	8269	0.0124608349332762	-0.389414090718821
CCDC13	152206	0.0124847223120359	-0.461910062193877
SYNPO	11346	0.0124847223120359	-0.491686783052153
GTPBP10	85865	0.0125026624327873	-0.672122717975054
		0.0125085486921534	-0.571406989619046
		0.0125153084493561	0.565498337208622
ANAPC5	51433	0.0125485329794267	0.510525928731292
GUCA1B	2979	0.0125536358919469	-0.299286257044217
OR10S1	219873	0.0125551504868112	-0.423467166899093
NDUFS6	4726	0.0125661927791025	0.396256596413832
ADTRP	84830	0.0125685034007905	-0.525125068446712
FBXO28	23219	0.012585754643071	-0.326185104581635
ATF7IP	55729	0.0125890718161399	-0.741893360146257
MESDC1	59274	0.0125890718161399	-0.380919518518135
LRRC75A	388341	0.0125974175601034	-0.621479011994329
		0.0126193764779442	0.328567092637189
SNHG1///SNORD25	23642///9303	0.0126316727779419	1.59877603603402
MIR622///KRT18	693207///3875	0.0126345078424574	0.948256700116781
ZNF235	9310	0.0126469168185418	-0.605346959912697
MTA2	9219	0.0126480077060016	0.603217598524948
OMG	4974	0.0126547230453321	-1.08598201991043
ELF1	1997	0.0126679573300979	0.335036376984137
SLC35B4	84912	0.0126700667040342	0.911722990836735
		0.0126755317004571	-0.314919800825396
		0.01267780605596	-0.579694117659862
		0.0126834418071821	-0.684781532664395
C12orf45	121053	0.0126871451294178	0.816060223447848
		0.01268843045757	-0.882393688119046
		0.0127340564016568	0.567585627668935
		0.0127430978947044	-2.02094006568821
1060P11.3///KIR2DS2///KIR2DL5B///KIR3DL3///KIR2DL5A///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS4///KIR2DS3///KIR2DS1///KIR2DL3///KIR2DL2///KIR2DL1///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS3///KIR2DL1	100506173///100132285///553128///115653///57292///3813///3812///3811///3810///3809///3808///3806///3804///3803///3802///3813///3812///3811///3810///3808///3802	0.0127430978947044	-0.42447666835034
CD300C	10871	0.0127509859711938	1.11885194275397
		0.0127684383103096	-0.913437047327665
SCARNA4	677771	0.0127684383103096	-1.36728423944558
		0.0127698700392473	-0.789709024994329
MIA-RAB4B///MIA	100529262///8190	0.0127772303548725	-0.392308313332198
		0.0127805595742081	1.28076478480839
KIAA2013	90231	0.0127976611606963	-0.552351565685941
GALT	2592	0.0128000486747398	-0.573867210535145
		0.0128264845737575	-0.35102659636848
KIR2DS2///KIR2DL5B///KIR3DL3///KIR2DL5A///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS4///KIR2DS3///KIR2DS1///KIR2DL4///KIR2DL3///KIR2DL2///KIR2DL1///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS3///KIR2DL1	100132285///553128///115653///57292///3813///3812///3811///3810///3809///3808///3806///3805///3804///3803///3802///3813///3812///3811///3810///3808///3802	0.0128339754120821	-0.64699920650227
ST8SIA1	6489	0.0128339754120821	-1.02621137965646
PDCD11	22984	0.0128339754120821	0.730791597191613
EID1	23741	0.0128429612937884	0.821551537151931
OR10H5	284433	0.0128533923793529	-0.391750316903625
GSE1	23199	0.0128570166810368	0.396150792390022
IGF2BP3	10643	0.0128661108894638	0.715307579037416
		0.0128765336689586	-0.273016290462585
WTH3DI///RAB6C///RAB6A	150786///84084///5870	0.0128779062805968	-0.492146263471654
		0.0128813288153837	-0.410753732913827
ATP5L	10632	0.0128815060310969	0.592776764670068
		0.0129008549207155	-0.418022589755099
AZIN2	113451	0.0129019763553994	-0.49887862765646
INPPL1	3636	0.012903122952492	0.434395942835602
ARHGDIG	398	0.012903122952492	-0.681677706979592
		0.0129038175108644	0.491282206922905
IPCEF1///CNKSR3	26034///154043	0.0129132975440869	-2.04507233285828
VSTM4	196740	0.0129173079916598	0.470973822987529
GNA13///GNA13	10672///10672	0.012934712256758	-0.625991257074828
		0.0129386918371755	1.03821837243991
RGL3	57139	0.0129386918371755	-0.346858168782311
ANK1	286	0.0129412246980783	0.735268779774378
LIMD1	8994	0.0129572648936109	0.84667790635601
KLRF1	51348	0.0129587617304113	-1.35372224832653
		0.012970130310059	-0.354452620011338
GPATCH4	54865	0.012970130310059	-0.571076975035148
RPLP1	6176	0.0129951614804718	0.946390634539684
BRE	9577	0.0129951614804718	0.371763002425171
		0.0130208476426666	-0.303236515190477
DHRS4L1///DHRS4L2///DHRS4	728635///317749///10901	0.0130220603693096	0.74967574250794
TGIF1	7050	0.0130220603693096	0.461500200558956
SNHG16///SNORD1C///SNHG16	100507246///677850///100507246	0.0130220603693096	-0.661746951721082
LPIN2	9663	0.0130232464727342	-0.895901076708616
		0.0130293577982059	-0.486989467866211
KPTN	11133	0.0130334114779087	0.378469265986396
NFKBIL1	4795	0.0130466864093384	-0.381623749647392
AP3M1	26985	0.0130568749499399	0.292263156820866
TERF2IP	54386	0.013081413929546	-0.39611030016553
TMEM110-MUSTN1///MUSTN1	100526772///389125	0.0130883469006534	-0.482236942003398
SAP18	10284	0.0131033882781467	0.463419597969393
		0.0131033882781467	-0.417664450978458
		0.013113099108036	-0.683112372023809
		0.0131168794278231	0.458161574408165
		0.0131310413024428	-0.654115101361677
APOL2	23780	0.0131347601718297	-0.727587073654191
GPAT2	150763	0.0131385951553762	-0.350045993912698
		0.0131390292717082	-0.35575635727324
GPS2	2874	0.013142971513736	-0.323208385290243
QTRT2	79691	0.0131448196502908	0.500084462719959
		0.0131539341077651	-0.394580713049887
PRRG1	5638	0.0131619192235931	0.435187025953517
CACTIN	58509	0.0131713341994923	-0.329412868628115
KRT33B	3884	0.0132179671199885	-0.399196623770975
COX7B	1349	0.0132234669502008	0.859794059774379
SLC30A1	7779	0.013225521768916	0.666631071868483
		0.0132351248210606	0.454199967792523
AVPR1A	552	0.0132421324611513	0.693283228676872
CELF2-AS1	414196	0.0132652317480768	-0.767466273157596
OR7E37P///MGC72080///OR7E5P///DAPL1///OR7E47P///OR7E12P///OR7E14P	100506759///389538///219445///92196///26628///10821///10819	0.013279638405661	-0.810893723445579
PEX12	5193	0.0133019007101203	-0.531847179775509
		0.0133074891428334	0.592069655920636
		0.0133155588899587	-0.442414787458048
GNAQ	2776	0.0133179564215116	1.92104530529252
		0.0133179564215116	0.52003305310771
		0.0133389972532188	-0.575221142037414
TBC1D3I///TBC1D3E///LOC101060389///TBC1D3L///TBC1D3K///TBC1D3G///TBC1D3H///TBC1D3///TBC1D3P2///TBC1D3C///TBC1D3B///TBC1D3F	102724862///102723859///101060389///101060376///101060351///101060321///729877///729873///440452///414060///414059///84218	0.0133427865813104	-0.462132657814059
SLC35A3	23443	0.0133493400205515	0.753849553612246
GPATCH11	253635	0.0133859105321685	0.678922108684809
FAM231A///LOC388692	729574///388692	0.0134037694718458	-0.404166000924034
NDUFAB1	4706	0.0134070172670942	0.743183611803857
HS6ST1	9394	0.0134252753213718	0.357145991368482
RNU5D-1	26830	0.0134271708352425	1.71636017601701
TADA2A	6871	0.0134278540914768	0.698743651373015
		0.0134278540914768	-1.04315052026984
PLXDC1	57125	0.0134384424868519	-1.31827324185941
		0.0134404047297148	1.4662604417517
CRACR2A	84766	0.01344310912831	-0.84167142954535
LOC728613///PDCD6	728613///10016	0.0134497570059036	-0.54565327699433
PPEF2	5470	0.0134593418295481	-0.301505284682539
CDC14A	8556	0.0134728304822689	-0.849690291511335
LRRIQ3	127255	0.0134982837642635	-0.368588491173468
DEDD	9191	0.0134982837642635	-0.51236096461905
TTC19	54902	0.0135037813171421	0.67840293723016
USP5	8078	0.0135037813171421	0.782156661640592
ILDR1	286676	0.0135050895295338	-0.509306219439908
		0.0135056675593167	-0.452020776065758
EIF2A	83939	0.013511775803296	0.878025802219954
		0.0135268543094695	0.419963151503406
MEIS2	4212	0.0135268543094695	0.448767597037417
LOC100128398	100128398	0.0135301349216657	-0.567765904247167
		0.013545677894268	-0.474118246461452
CRYBG3	131544	0.0135585560350605	1.14657737376191
MYO3B	140469	0.0135630780306949	-0.319219260416099
NHLRC3	387921	0.0135842834072423	0.9137355628288
RPS6KA6	27330	0.0135843238172544	-0.548141967075963
C2orf15	150590	0.0135894928602074	-0.620260301531746
IMMP2L	83943	0.0135911817059563	0.704255946849209
NDUFS3	4722	0.0135928255876542	0.632247625066894
GPATCH2	55105	0.0136391099952957	0.857818834320862
		0.0136405189725886	-0.440326600668933
PITRM1	10531	0.0136405189725886	0.686638775541953
XPNPEP2	7512	0.0136405189725886	-0.302999554632652
CA8	767	0.0136425973950939	0.697428927487527
NDUFV1	4723	0.0136496938329365	0.61472297504989
PNPT1	87178	0.0136592530034233	0.85698319704762
NUDT15	55270	0.0136623467061238	0.498222283397959
FYTTD1	84248	0.0136663173703834	0.721295302581633
POLR2J3///POLR2J2///POLR2J4///POLR2J	548644///246721///84820///5439	0.0136687571573464	-0.908956167945576
SPAG6	9576	0.0136751914571621	0.920219289543085
ZBTB37	84614	0.0136778541876922	-0.561141261171199
		0.0136785283656029	-0.788064941993194
ODF2	4957	0.0136798002824347	0.339736174871887
ATG9B	285973	0.0136803444979761	-0.301777900850339
PLIN3	10226	0.0136988546450449	0.730534729068026
		0.0136988546450449	-0.72731695778458
		0.0136988546450449	-0.567140418920635
THSD7A	221981	0.0137025150017238	0.664556848797054
		0.0137025150017238	-0.402478741840134
LINC01296	642477	0.0137066515873008	0.631974746339004
HMGB3P1	128872	0.0137082158824793	-0.362154328102037
PHF14	9678	0.0137082158824793	1.08983315240363
WDPCP	51057	0.0137249524318873	0.738379605171203
